1 1 2 10 False
1 2 3 10 False
1 3 4 10 False
1 4 5 10 False
1 5 6 10 False
1 6 7 10 False
1 7 8 10 False
1 8 9 10 False
1 9 10 10 False
1 10 11 10 True
2 1 3 10 False
2 3 5 10 False
2 5 7 10 False
2 7 9 10 False
2 9 11 10 False
3 1 4 10 False
3 4 7 10 False
3 7 10 10 False
3 10 13 10 True
4 1 5 10 False
4 5 9 10 False
4 9 13 10 False
5 1 6 10 False
5 6 11 10 False
6 1 7 10 False
6 7 13 10 False
7 1 8 10 False
7 8 15 10 False
8 1 9 10 False
8 9 17 10 False
9 1 10 10 False
9 10 19 10 True
10 1 11 10 False
33
